Sektor,"13,925,956,502",procent,min
SERVISIRANJE JAVNEGA DOLGA IN UPRAVLJANJE Z DENARNIMI SREDSTVI,"4,897,277,792",0.352,790.73
IZOBRAŽEVANJE IN ŠPORT,"1,554,336,571.16",0.112,790.73
POKOJNINSKO VARSTVO,"1,359,900,416",0.098,790.73
SOCIALNA VARNOST,"1,043,191,746",0.075,790.73
PODJETNIŠTVO IN KONKURENČNOST,"664,205,974.94",0.048,790.73
PROMET IN PROMETNA INFRASTRUKTURA,"613,364,147.38",0.044,790.73
"KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","428,082,494",0.031,790.73
PLAČILA V EVROPSKO UNIJO,"411,797,472",0.03,790.73
NOTRANJE ZADEVE IN VARNOST,"372,511,626",0.027,790.73
ZUNANJA POLITIKA IN MEDNARODNO RAZVOJNO SODELOVANJE,"345,635,081",0.025,790.73
TRG DELA IN DELOVNI POGOJI,"345,527,764.63",0.025,790.73
OBRAMBA IN ZAŠČITA,"344,635,273",0.025,790.73
PRAVOSODJE,"272,095,777.81",0.02,790.73
ZNANOST IN INFORMACIJSKA DRUŽBA,"246,274,075.25",0.018,790.73
EKONOMSKA IN JAVNOFINANČNA POLITIKA,"187,097,965.50",0.013,790.73
VAROVANJE OKOLJA IN OKOLJSKA INFRASTRUKTURA,"184,840,457",0.013,790.73
INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI,"177,752,109",0.013,790.73
KULTURA IN CIVILNA DRUŽBA,"172,138,901.13",0.012,790.73
LOKALNA SAMOUPRAVA,"160,104,554.90",0.011,790.73
SPLOŠNE JAVNE STORITVE IN SKUPNE ADMINISTRATIVNE SLUŽBE,"145,186,303.81",0.01,790.73
